PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
BCP2,6/11/2020 12:14,Recierre,Accidental,Normal,No establecido.,"Bella Vista, Santo Domingo, Manorá."
BCP2,6/11/2020 12:19,6/11/2020 12:23,Programado,Normal,Abierto Interruptor. Para efectuar maniobras.,"Bella Vista, Santo Domingo, Manorá."
BCP2,14/11/2020 20:53,15/11/2020 02:17,Accidental,Adverso,"Ramas sobre Línea MT. Agustin Barrios y RoaBastos.","Bella Vista, Santo Domingo, Manorá."
BCP2,15/11/2020 09:06,15/11/2020 13:07,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bella Vista, Santo Domingo, Manorá."
BCP2,15/11/2020 13:54,15/11/2020 13:57,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,"Bella Vista, Santo Domingo, Manorá."
BCP2,15/11/2020 14:55,15/11/2020 14:59,Accidental,Adverso,Al efectuar maniobras. En servicio parcial.,"Bella Vista, Santo Domingo, Manorá."
BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,"Al efectuar maniobras. En servicio parcial. 16:06hsen servicio total.","Bella Vista, Santo Domingo, Manorá."
BCP2,15/11/2020 15:31,15/11/2020 15:52,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bella Vista, Santo Domingo, Manorá."
BCP2,15/11/2020 21:07,15/11/2020 21:34,Accidental,Adverso,"Abierto interruptor para reparación de SFT averiadoen forma directa. En Roa Bastos y Capitán Miranda ;y en del Carmen y Ordriozola.","Bella Vista, Santo Domingo, Manorá."
BCP2,26/11/2020 10:34,26/11/2020 11:32,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bella Vista, Santo Domingo, Manorá."
BCP3,8/11/2020 09:03,8/11/2020 10:08,Accidental,Normal,"Afectado por el Puente MT Suelto del BPA12. Dobleterna.","Las Carmelitas, Villa Morra, Manorá."
BCP3,14/11/2020 21:29,14/11/2020 22:51,Accidental,Adverso,Condiciones Climaticas Adversas,"Las Carmelitas, Villa Morra, Manorá."
