PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
BCP2,13/06/2020 05:24,13/06/2020 05:45,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bella Vista, Santo Domingo, Manorá."
BCP2,24/06/2020 11:47,24/06/2020 12:11,Producción,Normal,"Fuera de Servicio LT PBO-SMI 66kV. Ocasionadopor terceros.  Accidentado de una Empresacontratista.","Bella Vista, Santo Domingo, Manorá."
BCP3,24/06/2020 11:47,24/06/2020 12:11,Producción,Normal,"Fuera de Servicio LT PBO-SMI 66kV. Ocasionadopor terceros.  Accidentado de una Empresacontratista.","Las Carmelitas, Villa Morra, Manorá."
BCP3,27/06/2020 23:34,27/06/2020 23:37,Programado,Normal,Abierto interruptor para efectuar maniobras.,"Las Carmelitas, Villa Morra, Manorá."
BMO2,21/06/2020 08:21,Recierre,Accidental,Normal,No establecido.,Itay.
BPA10,15/06/2020 12:38,15/06/2020 12:57,Accidental,Normal,"Choque por columna MT. Mcal. López e/ N. Torales yAlas Paraguayas.","Luis Alberto de Herrera, San Cristobal, SantaMaría."
BPA10,15/06/2020 14:49,15/06/2020 15:32,Accidental,Normal,"Seccionador averiado, descargador averiado. GuidoSpano y N. Torales.","Luis Alberto de Herrera, San Cristobal, SantaMaría."
BPA12,4/06/2020 16:35,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Salvador del Mundo, San Cristobal, SanJorge."
BPA4,5/06/2020 05:13,5/06/2020 05:51,Accidental,Adverso,Condiciones Climáticas Adversas.,"Luis Alberto de Herrera, San Cristobal, SantaMaría."
BPA5,4/06/2020 17:41,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Cristobal, Recoleta."
BPA5,4/06/2020 19:05,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Cristobal, Recoleta."
BPA5,25/06/2020 12:31,Recierre,Accidental,Normal,No establecido.,"San Cristobal, Recoleta."
CEN3,4/06/2020 12:29,4/06/2020 13:31,Accidental,Adverso,Condiciones Climáticas Adversas.,"La Catedral, La Encarnación."
CEN3,13/06/2020 06:36,13/06/2020 07:18,Accidental,Adverso,"Aislador porta barra averiada en PE TAM. Gral. Diaze/ Alberdi y 14 de Mayo.","La Catedral, La Encarnación."
CEN3,13/06/2020 12:10,13/06/2020 12:18,Accidental,Adverso,"Abierto Interruptor, para efectuar maniobras.","La Catedral, La Encarnación."
CEN4,4/06/2020 11:23,4/06/2020 12:22,Accidental,Adverso,Agua en PD CE3. Edificio Asunción.,La Encarnación.
CEN4,9/06/2020 14:25,9/06/2020 16:57,Accidental,Normal,"Fuera de servicio constatado por reclamos. CORMsin SCADA.",La Encarnación.
CEN4,19/06/2020 11:54,19/06/2020 14:08,Accidental,Normal,"Humareda en la sala 23kV, TC averiado.",La Encarnación.
CEN6,7/06/2020 23:02,7/06/2020 23:29,Accidental,Normal,No establecido.,"La Encarnación, La Catedral."
CEN6,9/06/2020 14:25,9/06/2020 16:45,Accidental,Normal,"Fuera de servicio constatado por reclamos. CORMsin SCADA.","La Encarnación, La Catedral."
CEN6,9/06/2020 19:24,9/06/2020 19:43,Accidental,Normal,"al efectuar maniobras. Agua en PD y Aisladoraveriado CE125. LIDER IV.","La Encarnación, La Catedral."
