PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
BCP2,14/10/2020 13:46,14/10/2020 15:03,Accidental,Adverso,Transformador averiado. Aguirre y Peña.,"Bella Vista, Santo Domingo, Manorá."
BCP2,26/10/2020 02:27,26/10/2020 03:23,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bella Vista, Santo Domingo, Manorá."
BCP2,26/10/2020 03:27,26/10/2020 09:31,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bella Vista, Santo Domingo, Manorá."
BMO1,26/10/2020 01:45,26/10/2020 04:35,Accidental,Adverso,Condiciones Climáticas Adversas.,"Itay, San Jorge."
BMO1,27/10/2020 11:45,27/10/2020 12:30,Accidental,Normal,No establecido.,"Itay, San Jorge."
BMO1,29/10/2020 15:28,Recierre,Accidental,Normal,No establecido.,"Itay, San Jorge."
BMO1,29/10/2020 15:55,29/10/2020 15:57,Accidental,Normal,Seccionador N° 54121 averiado.,"Itay, San Jorge."
BPA10,26/10/2020 01:37,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Luis Alberto de Herrera, San Cristobal,Santa María."
BPA10,26/10/2020 02:26,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Luis Alberto de Herrera, San Cristobal,Santa María."
BPA10,26/10/2020 06:54,26/10/2020 07:05,Accidental,Adverso,"Abierto Interruptor. Para efectuar reparación de SFT.Guido Spano y Denis Roa.","Luis Alberto de Herrera, San Cristobal,Santa María."
BPA12,24/10/2020 04:03,Recierre,Accidental,Normal,No establecido.,"Salvador del Mundo, San Cristobal,San Jorge."
BPA2,26/10/2020 01:44,26/10/2020 03:23,Accidental,Adverso,Condiciones Climáticas Adversas.,"Manorá, Ykua Sati."
BPA4,14/10/2020 01:44,14/10/2020 02:29,Accidental,Normal,Tramo subterráneo averiado. Primer tramo averiado.,"Luis Alberto de Herrera, San Cristobal,Santa María."
BPA6,26/10/2020 01:38,26/10/2020 10:20,Accidental,Adverso,Condiciones Climáticas Adversas.,"Itay, Ykua Sati, San Jorge."
BPA8,24/10/2020 01:57,24/10/2020 03:12,Accidental,Normal,Fusible Operado. Del Maestro y Rivarola.,Villa Morra.
BPA8,26/10/2020 01:56,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,Villa Morra.
CEN6,17/10/2020 09:03,17/10/2020 09:56,Accidental,Normal,"Línea subterránea averiada. 14 de Mayo e/ Palma yEstrella.","La Encarnación, La Catedral."
FDM2,14/10/2020 15:02,Recierre,Accidental,Adverso,Vientos fuertes.,San Pablo.
FDM2,14/10/2020 19:22,14/10/2020 20:06,Accidental,Adverso,Vientos fuertes.,San Pablo.
FDM2,14/10/2020 20:29,14/10/2020 20:31,Accidental,Adverso,Cruceta MT rota. Maskoi y Chamacoco.,San Pablo.
FDM3,26/10/2020 02:12,26/10/2020 03:20,Accidental,Adverso,Condiciones Climáticas Adversas.,San Pablo.
GDI1,16/10/2020 09:35,16/10/2020 10:06,Accidental,Normal,Pájaro sobre Línea MT. EEUU y 2da.,"Gral. J. E Diaz, Obrero."
GDI2,18/10/2020 12:55,18/10/2020 13:46,Accidental,Normal,Tramo subterráneo averiado. SM217-SM274.,"Gral. J. E Diaz, Obrero."
GDI2,26/10/2020 01:46,26/10/2020 05:08,Accidental,Adverso,Condiciones Climáticas Adversas.,"Gral. J. E Diaz, Obrero."
GDI2,26/10/2020 07:15,26/10/2020 07:33,Accidental,Adverso,Condiciones Climáticas Adversas.,"Gral. J. E Diaz, Obrero."
GDI2,26/10/2020 12:15,26/10/2020 12:50,Accidental,Adverso,"Tramo subterráneo averiado. PD PS160 (50730 al50732).","Gral. J. E Diaz, Obrero."
GDI3,26/10/2020 01:46,26/10/2020 03:17,Accidental,Adverso,Condiciones Climáticas Adversas.,Gral. J. E Diaz.
GDI3,26/10/2020 21:07,26/10/2020 21:25,Accidental,Normal,"Abierto interruptor para normalizar derivación.Colón yBerlín.",Gral. J. E Diaz.
GDI4,14/10/2020 19:36,14/10/2020 20:58,Accidental,Adverso,Vientos fuertes.,"Obrero, Dr. Roberto L. Petit, BañadoTacumbu."
GDI4,27/10/2020 20:51,27/10/2020 20:57,Accidental,Normal,"Abierto Interruptor. SF averiado. Tacuary y 32Proyectadas.","Obrero, Dr. Roberto L. Petit, BañadoTacumbu."
LAM15,10/10/2020 10:46,10/10/2020 11:35,Accidental,Normal,"Brazo de AP en contacto con línea MT. Corpus Cristiy Natividad.",Itá Enramada.
LAM22,1/10/2020 10:58,1/10/2020 12:32,Accidental,Adverso,Condiciones Climáticas Adversas.,"Hipódromo, Terminal."
LAM22,11/10/2020 16:12,11/10/2020 16:41,Accidental,Normal,"Choque por sostén MT. Avda. Fernando de la Mora yParaíso.","Hipódromo, Terminal."
LAM22,14/10/2020 09:04,14/10/2020 09:43,Accidental,Normal,"Transformador averiado, SF averiado. CristobalColón c/ Rca. Argentina.","Hipódromo, Terminal."
LAM22,20/10/2020 12:34,20/10/2020 13:04,Accidental,Normal,No establecido.,"Hipódromo, Terminal."
LAM22,20/10/2020 13:08,20/10/2020 13:49,Accidental,Normal,No establecido.,"Hipódromo, Terminal."
LAM23,15/10/2020 00:15,15/10/2020 00:42,Accidental,Adverso,Vientos fuertes.,Mburicao.
LAM23,23/10/2020 06:08,23/10/2020 06:58,Accidental,Normal,No establecido.,Mburicao.
LAM23,23/10/2020 23:07,23/10/2020 23:50,Accidental,Normal,"Cruceta MT rota, SF averiado. PD EXCLUSIVO.Pariri y Avda. Fernando de la Mora.",Mburicao.
LAM23,26/10/2020 01:41,26/10/2020 03:41,Accidental,Adverso,Condiciones Climáticas Adversas.,Mburicao.
LAM28,1/10/2020 11:36,1/10/2020 12:45,Accidental,Adverso,Condiciones Climáticas Adversas.,"Vista Alegre, Nazareth."
LAM3,15/10/2020 01:10,15/10/2020 02:26,Accidental,Adverso,Vientos fuertes.,Vista Alegre.
LAM3,26/10/2020 01:42,26/10/2020 03:42,Accidental,Adverso,Condiciones Climáticas Adversas.,Vista Alegre.
LAM30,6/10/2020 05:42,6/10/2020 06:32,Accidental,Normal,Ave en contacto con línea MT. Altos y Fuerte Olimpo.,Itá Enramada.
LAM30,26/10/2020 01:36,26/10/2020 03:39,Accidental,Adverso,Condiciones Climáticas Adversas.,Itá Enramada.
LAM5,4/10/2020 09:45,4/10/2020 10:13,Accidental,Normal,Fusible operado. Lado Cerro Guy.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM5,13/10/2020 16:09,13/10/2020 16:45,Accidental,Normal,"Abierto Interruptor, para efectuar reparación dePuente MT Suelto en la RTU 51641. Felicidad eItaipu.","Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM5,26/10/2020 01:41,26/10/2020 03:42,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM7,21/10/2020 03:02,21/10/2020 03:42,Accidental,Normal,No establecido.,"Vista Alegre, Pinoza."
LAM7,26/10/2020 01:33,26/10/2020 03:39,Accidental,Adverso,Condiciones Climáticas Adversas.,"Vista Alegre, Pinoza."
MBU1,13/10/2020 10:49,13/10/2020 11:41,Accidental,Normal,Desperfecto Interno. Tregnatti y Campo Cervera.,"Las Carmelitas, Madame Lynch,Manorá."
MBU2,1/10/2020 11:45,1/10/2020 13:14,Accidental,Adverso,Condiciones Climáticas Adversas.,"Madame Lych, Mburucuyá."
MBU2,13/10/2020 10:49,Recierre,Accidental,Normal,Desperfecto Interno. Tregnatti y Campo Cervera.,"Madame Lych, Mburucuyá."
MBU3,13/10/2020 10:49,Recierre,Accidental,Normal,Desperfecto Interno. Tregnatti y Campo Cervera.,"Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,1/10/2020 11:45,1/10/2020 13:15,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,2/10/2020 06:48,1/10/2020 12:43,Accidental,Normal,"Línea MT en contacto con sostén intermedio. EnJuez Pino entre Escobar y Avda. Ñi Guazu.Condiciones climáticas adversas.","Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,14/10/2020 13:24,14/10/2020 13:55,Accidental,Adverso,Vientos fuertes.,"Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,14/10/2020 13:59,14/10/2020 15:15,Accidental,Adverso,Vientos Fuertes.,"Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,14/10/2020 19:31,14/10/2020 20:16,Accidental,Adverso,Vientos fuertes.,"Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,26/10/2020 02:28,26/10/2020 03:22,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,26/10/2020 03:31,26/10/2020 05:26,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Carmelitas, Madame Lynch,Mburucuyá."
MRA1,1/10/2020 11:22,1/10/2020 14:10,Accidental,Adverso,Condiciones Climáticas Adversas.,"Loma Pyta, Zeballos Cué, San Blas."
MRA1,8/10/2020 18:06,8/10/2020 18:48,Accidental,Normal,No establecido.,"Loma Pyta, Zeballos Cué, San Blas."
MRA1,12/10/2020 17:27,12/10/2020 18:12,Accidental,Normal,No establecido.,"Loma Pyta, Zeballos Cué, San Blas."
MRA1,26/10/2020 01:43,26/10/2020 11:52,Accidental,Adverso,Condiciones Climáticas Adversas.,"Loma Pyta, Zeballos Cué, San Blas."
PBO1,1/10/2020 10:52,1/10/2020 12:40,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Rosa, Virgen de la Asunción,Cañada Ybyray, Zeballos Cué, Bañado"
PBO1,1/10/2020 12:48,1/10/2020 14:24,Accidental,Adverso,Seccionador N° 53597 averiado F1.,"Santa Rosa, Virgen de la Asunción,Cañada Ybyray, Zeballos Cué, Bañado"
PBO10,1/10/2020 11:53,1/10/2020 13:51,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bañado Cará Cará, Botánico, SantaRosa."
PBO10,23/10/2020 23:03,24/10/2020 00:47,Accidental,Normal,No establecido.,"Bañado Cará Cará, Botánico, SantaRosa."
PBO10,24/10/2020 02:48,24/10/2020 02:59,Accidental,Normal,Al efectuar maniobras.,"Bañado Cará Cará, Botánico, SantaRosa."
