PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
PBO20,7/04/2020 16:20,7/04/2020 17:16,Accidental,Normal,"Línea MT suelta, cruceta MT rota y sostén averiado,ocasionado por terceros. Zeballos Cue, entrada aPuerto Unión.",Botánico.
PBO20,7/04/2020 18:52,7/04/2020 19:47,Programado,Normal,"Abierto interruptor para efectuar reparación deseccionador de línea averiado y corte de ramas.",Botánico.
PBO21,1/04/2020 20:34,1/04/2020 21:22,Accidental,Normal,"Transformador averiado. Epopeya Nacional y Mcal.Estigarribia.",Zeballos Cué.
PBO21,3/04/2020 09:38,3/04/2020 10:08,Accidental,Normal,Transformador averiado. Barrio Caacupemi.,Zeballos Cué.
PBO8,30/04/2020 16:58,30/04/2020 17:16,Accidental,Normal,No establecido.,"Virgen de Fátima, Santa Rosa."
PCA5,18/04/2020 01:00,18/04/2020 01:48,Accidental,Normal,No establecido.,La Catedral.
PCA5,23/04/2020 00:38,23/04/2020 01:20,Accidental,Normal,No establecido.,La Catedral.
PCA5,24/04/2020 14:56,24/04/2020 15:27,Accidental,Normal,Ave en contacto con Línea MT. 14 de Mayo y Playa.,La Catedral.
PCA6,2/04/2020 19:19,2/04/2020 20:02,Accidental,Normal,No establecido.,La Catedral.
PCA6,15/04/2020 12:46,15/04/2020 13:29,Accidental,Normal,"Pérdida de aislación en el Seccionador 51833 - PDSM128. Edificio Imperial, Herrera c/ EE.UU.",La Catedral.
PCA6,16/04/2020 17:56,16/04/2020 18:25,Accidental,Normal,No establecido.,La Catedral.
PCA6,19/04/2020 16:15,19/04/2020 16:45,Accidental,Normal,"Seccionador bajo carga averiado. Seccionador 51558- SM 235.",La Catedral.
PCA8,13/04/2020 16:02,13/04/2020 17:14,Accidental,Normal,"Seccionador Fusible averiado, Puente MT Suelto,Cruceta MT rota. Indias y 8 de Diciembre. BarrioTablada Nueva.","Banco San Miguel, Tablada Nueva, Jara."
PCA8,13/04/2020 18:00,13/04/2020 18:02,Accidental,Normal,"Abierto Interruptor por Seccionador Fusible averiado,Puente MT Suelto, Cruceta MT rota. Indias y 8 deDiciembre. Barrio Tablada Nueva.","Banco San Miguel, Tablada Nueva, Jara."
PCA8,24/04/2020 23:16,24/04/2020 23:19,Accidental,Normal,"Abierto Interruptor, para efectuar reparación. SFAveriado F2. Indias y Dublin.","Banco San Miguel, Tablada Nueva, Jara."
PSA11,29/04/2020 09:45,29/04/2020 09:56,Accidental,Normal,Transformador averiado. U. Velazco y Rancho 8.,"Bañado Tacumbu, Sajonia."
PSA4,13/04/2020 17:18,13/04/2020 17:37,Accidental,Normal,No establecido.,"Ita Pyta Punta,."
PSA5,2/04/2020 02:13,2/04/2020 03:32,Accidental,Normal,No establecido.,"La Encarnación, San Antonio, Ita Pyta Punta, Dr.Gaspar R. de Francia."
PSA5,2/04/2020 09:40,2/04/2020 10:09,Accidental,Normal,"1- Rama sobre línea MT y fusible operado F1. Tte.Rodi y Tte. Prieto. 2- Fusible operado. ComandanteGamarra y Dr. Insfrán.","La Encarnación, San Antonio, Ita Pyta Punta, Dr.Gaspar R. de Francia."
PSA5,13/04/2020 17:18,13/04/2020 17:38,Accidental,Normal,No establecido.,"La Encarnación, San Antonio, Ita Pyta Punta, Dr.Gaspar R. de Francia."
PSA6,2/04/2020 02:13,2/04/2020 03:33,Accidental,Normal,No establecido.,"San Antonio, Ita Pyta Punta, Dr. Gaspar Rodriguezde Francia."
PSA6,2/04/2020 04:23,2/04/2020 05:25,Accidental,Normal,"Fusible operado en derivación. Isabel La Católica c/Tte. Guillermo Arias.","San Antonio, Ita Pyta Punta, Dr. Gaspar Rodriguezde Francia."
PSA6,26/04/2020 06:17,26/04/2020 07:14,Accidental,Normal,No establecido.,"San Antonio, Ita Pyta Punta, Dr. Gaspar Rodriguezde Francia."
REP1,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Dr. Roberto L. Petit.
REP2,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"Republicano, Santa Librada."
REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"San Pablo, Obrero, San Vicente, Republicano,Santa Ana, Jukyty, Santa Librada, Pirizal."
REP4,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Hipódromo.
REP5,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"Tte. Silvio Petirosi, San Vicente, Pinoza."
REP6,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"San Vicente, Pinoza, Pirizal."
REP7,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,"Tte. Silvio Petirosi, San Vicente, Pinoza."
REP9,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Tte. Silvio Petirosi.
SMI11,26/04/2020 10:57,26/04/2020 11:49,Accidental,Normal,"Ramas de palmera sobre Línea MT. Acometida ClubCentenario.","Virgen de la Asunción, Virgen del Huerto, BellaVista, Mcal. Francisco.S. López, Jara."
SMI2,16/04/2020 08:55,16/04/2020 09:46,Accidental,Normal,Fusible operado. Río de Janeiro y Brasilia.,"Mburicao, Recoleta, Mcal. Francisco. S. López,Gral. Bernardino Caballero."
SMI2,16/04/2020 20:53,16/04/2020 21:22,Accidental,Normal,No establecido.,"Mburicao, Recoleta, Mcal. Francisco. S. López,Gral. Bernardino Caballero."
SMI2,25/04/2020 09:04,25/04/2020 09:35,Accidental,Normal,No establecido.,"Mburicao, Recoleta, Mcal. Francisco. S. López,Gral. Bernardino Caballero."
SMI3,2/04/2020 19:19,Recierre,Accidental,Normal,No establecido.,"Gral. Bernardino Caballero, Ciudad Nueva."
SMI3,16/04/2020 17:56,Recierre,Accidental,Normal,No establecido.,"Gral. Bernardino Caballero, Ciudad Nueva."
SMI3,19/04/2020 16:15,Recierre,Accidental,Normal,No establecido.,"Gral. Bernardino Caballero, Ciudad Nueva."
