PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
BCP2,6/01/2020 15:50,6/01/2020 17:49,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bella Vista, Santo Domingo, Manorá."
BCP2,6/01/2020 21:45,6/01/2020 22:30,Accidental,Adverso,"Ramas sobre Línea MT. Mena Porta y Pedro P.
Peña.","Bella Vista, Santo Domingo, Manorá."
BCP2,26/01/2020 11:09,26/01/2020 12:03,Accidental,Normal,"Cruceta MT rota y Puente MT Suelto. Moreno y
Aguirre.","Bella Vista, Santo Domingo, Manorá."
BCP3,6/01/2020 15:50,6/01/2020 20:30,Accidental,Adverso,"SF operado, Ramas sobre Línea MT. Agustín Barrios
y Roa Bastos.","Las Carmelitas, Villa Morra, Manorá."
BCP3,29/01/2020 18:20,30/01/2020 00:50,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Carmelitas, Villa Morra, Manorá."
BMO1,6/01/2020 15:50,6/01/2020 15:53,Accidental,Adverso,Condiciones Climáticas Adversas.,"Itay, San Jorge."
BMO1,6/01/2020 20:04,6/01/2020 20:10,Producción,Adverso,Al cerrar BMO5.,"Itay, San Jorge."
BMO1,10/01/2020 10:41,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Itay, San Jorge."
BMO1,10/01/2020 11:46,10/01/2020 11:56,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de
fusible. Sta. Carolina y 3 de Julio.","Itay, San Jorge."
BMO1,12/01/2020 19:05,12/01/2020 19:11,Producción,Normal,"Fuera de Servicio ES-BMO. Línea MT Suelta F2
sobre BMO 2. Laguna grande y O ´leary por ramas
sobre Línea MT.","Itay, San Jorge."
BMO1,25/01/2020 08:13,25/01/2020 08:32,Programado,Normal,Corte programado DD/DCC7/001/20.,"Itay, San Jorge."
BMO1,29/01/2020 18:17,29/01/2020 20:42,Accidental,Adverso,Condiciones Climáticas Adversas.,"Itay, San Jorge."
BMO1,30/01/2020 14:55,30/01/2020 15:53,Accidental,Adverso,"Abierto interruptor para reparacion de puente suelto
en 12 de junio y Obrero.","Itay, San Jorge."
BMO1,30/01/2020 16:09,30/01/2020 16:40,Accidental,Adverso,Al cerrar SLT N° 52405.,"Itay, San Jorge."
BMO1,30/01/2020 16:41,30/01/2020 17:19,Accidental,Adverso,Línea MT suelta en Salin Yubi y Del Carmen.,"Itay, San Jorge."
BMO2,6/01/2020 15:33,6/01/2020 19:55,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay.
BMO2,6/01/2020 20:04,6/01/2020 20:10,Producción,Adverso,Al cerrar BMO5.,Itay.
BMO2,7/01/2020 12:36,7/01/2020 12:45,Accidental,Normal,"Abierto Interruptor, para efectuar reparación de
Puente MT suelto. San Cristobal y Cantero.",Itay.
BMO2,12/01/2020 19:05,12/01/2020 19:58,Accidental,Normal,"Fuera de Servicio ES-BMO. Línea MT Suelta F2
sobre BMO 2. Laguna grande y O ´leary por ramas
sobre Línea MT.",Itay.
BMO2,20/01/2020 08:15,Recierre,Accidental,Normal,No establecido.,Itay.
BMO2,29/01/2020 18:12,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay.
BMO2,30/01/2020 16:09,30/01/2020 16:15,Programado,Normal,Fuera de Servicio ES-BMO.,Itay.
BMO2,30/01/2020 16:40,30/01/2020 17:38,Producción,Adverso,Fuera de Servicio ES-BMO.,Itay.
BPA10,6/01/2020 15:30,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay.
BPA10,6/01/2020 15:34,6/01/2020 19:03,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay.
BPA10,6/01/2020 21:46,6/01/2020 21:59,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de SF.
Lado Frigorifico Guaraní.",Itay.
BPA10,12/01/2020 21:30,Recierre,Accidental,Normal,No establecido.,Itay.
BPA10,13/01/2020 16:38,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay.
BPA10,29/01/2020 18:14,30/01/2020 05:44,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay.
BPA12,6/01/2020 15:27,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Salvador del Mundo, San Cristobal,
San Jorge."
BPA12,19/01/2020 18:00,Recierre,Accidental,Normal,No establecido.,"Salvador del Mundo, San Cristobal,
San Jorge."
BPA12,30/01/2020 04:32,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas,"Salvador del Mundo, San Cristobal,
San Jorge."
BPA2,29/01/2020 18:06,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Carmelitas, Manorá, Ykua Sati."
BPA2,29/01/2020 18:16,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Carmelitas, Manorá, Ykua Sati."
BPA2,30/01/2020 15:08,Recierre,Accidental,Adverso,No establecido.,"Las Carmelitas, Manorá, Ykua Sati."
BPA3,14/01/2020 18:03,14/01/2020 18:50,Accidental,Normal,"Abierto Interruptor, para efectuar cambio de
transformador averiado. Avda. Boggiani y Gral.
Ceferino Vega.",San Cristobal.
BPA4,6/01/2020 16:08,6/01/2020 20:02,Accidental,Adverso,Condiciones Climáticas Adversas.,"Luis Alberto de Herrera, San Cristobal,
Santa María."
BPA4,6/01/2020 21:56,6/01/2020 21:58,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de SF.
Lado Frigorifico Guaraní.","Luis Alberto de Herrera, San Cristobal,
Santa María."
BPA4,18/01/2020 15:01,18/01/2020 15:47,Accidental,Normal,"Línea MT Suelta, por caída de Antena.  8 de
Setiembre y Tacuary.","Luis Alberto de Herrera, San Cristobal,
Santa María."
