PRIMARIO,FUERA DE SERVICIO,REPOSICIONN,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
GDI4,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"Obrero, Dr. Roberto L. Petit, BañadoTacumbu."
GDI4,30/09/2020 13:20,30/09/2020 15:34,Accidental,Adverso,Condiciones Climáticas Adversas.,"Obrero, Dr. Roberto L. Petit, BañadoTacumbu."
GDI4,30/09/2020 15:54,30/09/2020 21:31,Accidental,Adverso,"Ramas sobre Línea MT. México e/ 24 y 25Proyectadas.","Obrero, Dr. Roberto L. Petit, BañadoTacumbu."
LAM10,14/09/2020 05:21,14/09/2020 15:37,Accidental,Adverso,"Abierto Interruptor, para efectuar reparación deCruceta rota. Avda. Fernando de la Mora c/ CaciqueLambaré.",Terminal.
LAM10,14/09/2020 05:44,14/09/2020 06:57,Accidental,Adverso,Condiciones Climáticas Adversas.,Terminal.
LAM10,23/09/2020 08:57,23/09/2020 09:34,Accidental,Normal,No establecido.,Terminal.
LAM10,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,Terminal.
LAM15,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,Itá Enramada.
LAM22,14/09/2020 05:21,14/09/2020 15:37,Accidental,Adverso,"Abierto Interruptor, para efectuar reparación deCruceta rota. Avda. Fernando de la Mora c/ CaciqueLambaré.","Hipódromo, Terminal."
LAM22,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Hipódromo, Terminal."
LAM22,26/09/2020 10:33,26/09/2020 12:39,Accidental,Adverso,Condiciones Climáticas Adversas.,"Hipódromo, Terminal."
LAM22,26/09/2020 12:45,26/09/2020 13:39,Accidental,Adverso,Condiciones Climáticas Adversas.,"Hipódromo, Terminal."
LAM22,30/09/2020 11:49,30/09/2020 12:19,Accidental,Adverso,Línea MT Suelta. Pindo y Mencia de Sanabria.,"Hipódromo, Terminal."
LAM22,30/09/2020 14:15,30/09/2020 14:37,Accidental,Adverso,Condiciones Climáticas Adversas.,"Hipódromo, Terminal."
LAM23,14/09/2020 18:23,14/09/2020 18:25,Accidental,Adverso,Al efectuar maniobras.,Mburicao.
LAM23,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,Mburicao.
LAM23,26/09/2020 13:42,26/09/2020 14:26,Accidental,Adverso,Condiciones Climáticas Adversas.,Mburicao.
LAM28,15/09/2020 09:47,15/09/2020 10:40,Accidental,Normal,"Transformador averiado. Medalla Milagrosa y DiegoGarcia.","Vista Alegre, Nazareth."
LAM28,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Vista Alegre, Nazareth."
LAM3,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,Vista Alegre.
LAM3,27/09/2020 02:15,27/09/2020 02:26,Accidental,Normal,"Abierto Interruptor, para efectuar reparación. PuenteMT Suelto en el TRAFO No 72418.",Vista Alegre.
LAM3,27/09/2020 23:14,27/09/2020 23:33,Accidental,Normal,No establecido.,Vista Alegre.
LAM3,30/09/2020 14:32,30/09/2020 15:41,Accidental,Adverso,Condiciones Climáticas Adversas.,Vista Alegre.
LAM30,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,Itá Enramada.
LAM30,26/09/2020 13:52,26/09/2020 16:34,Accidental,Adverso,Condiciones Climáticas Adversas.,Itá Enramada.
LAM5,14/09/2020 07:53,14/09/2020 09:15,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM5,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM5,26/09/2020 10:31,26/09/2020 11:21,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM5,26/09/2020 11:52,26/09/2020 13:13,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM5,26/09/2020 11:52,26/09/2020 13:13,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM5,30/09/2020 13:20,30/09/2020 15:30,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Ana, Itá Enramada, Jukyty,Santa Librada, San Cayetano, Pirizal."
LAM7,14/09/2020 05:00,14/09/2020 05:45,Accidental,Adverso,"Línea MT en C.C por sostén MT intermedio.Comendador Bo y Nuñez de Balboa.","Vista Alegre, Pinoza."
LAM7,14/09/2020 07:33,14/09/2020 12:13,Accidental,Adverso,"Línea MT desprendida y en contacto con cruceta.Ysapy y San Carlos.","Vista Alegre, Pinoza."
LAM7,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Vista Alegre, Pinoza."
LAM7,26/09/2020 10:40,26/09/2020 13:10,Accidental,Adverso,Condiciones Climáticas Adversas.,"Vista Alegre, Pinoza."
LAM7,30/09/2020 13:56,30/09/2020 14:50,Accidental,Adverso,Condiciones Climáticas Adversas.,"Vista Alegre, Pinoza."
MBU1,7/09/2020 11:11,7/09/2020 11:46,Producción,Normal,"F/S LT 66kV PBO - MBU, se constató humareda enla sala 23kV de la SE-MBU.","Las Carmelitas, Madame Lynch,Manorá."
MBU2,7/09/2020 11:11,7/09/2020 11:46,Producción,Normal,"F/S LT 66kV PBO - MBU, se constató humareda enla sala 23kV de la SE-MBU.","Madame Lych, Mburucuyá."
MBU3,7/09/2020 11:11,7/09/2020 11:46,Producción,Normal,"F/S LT 66kV PBO - MBU, se constató humareda enla sala 23kV de la SE-MBU.","Las Carmelitas, Madame Lynch,Mburucuyá."
MBU4,5/09/2020 00:32,5/09/2020 00:33,Accidental,Normal,"Al efectuar cierre del Seccionador 53967, por averíaanterior.","Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,7/09/2020 11:11,7/09/2020 11:46,Producción,Normal,"F/S LT 66kV PBO - MBU, se constató humareda enla sala 23kV de la SE-MBU.","Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,8/09/2020 12:59,Recierre,Accidental,Normal,No establecido.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,26/09/2020 10:37,26/09/2020 12:32,Accidental,Adverso,Línea MT Suelta. Vasconcellos y Miranda.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,26/09/2020 13:09,26/09/2020 13:42,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 11:45,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 12:41,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 12:59,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 13:10,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 13:30,30/09/2020 15:40,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 18:29,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 19:52,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU4,30/09/2020 20:06,30/09/2020 20:12,Accidental,Adverso,Alivio de carga y Seccionador N° 53927 averiado F3.,"Mocayaty, Loma Pyta, Ñu Guasu,Mburucuyá."
MBU5,7/09/2020 11:11,7/09/2020 11:46,Producción,Normal,"F/S LT 66kV PBO - MBU, se constató humareda enla sala 23kV de la SE-MBU.","Santísima Trinidad, Madame Lych,Mbocayty, Ñu Guasu, Salvador delMundo, Mburucuyá."
MBU7,7/09/2020 11:11,7/09/2020 12:14,Producción,Normal,"F/S LT 66kV PBO - MBU, se constató humareda enla sala 23kV de la SE-MBU.","Virgen de la Asunción, CañadaYbyray."
MRA11,18/09/2020 05:52,Recierre,Accidental,Normal,No establecido.,Loma Pyta.
PBO1,26/09/2020 12:49,26/09/2020 15:22,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Rosa, Virgen de la Asunción,Cañada Ybyray, Zeballos Cué,Bañado Cará Cará."
PBO1,26/09/2020 14:05,26/09/2020 15:22,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santa Rosa, Virgen de la Asunción,Cañada Ybyray, Zeballos Cué,Bañado Cará Cará."
PBO10,14/09/2020 05:38,14/09/2020 07:52,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bañado Cará Cará, Botánico, Santa Rosa."
PBO10,26/09/2020 13:59,26/09/2020 16:02,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bañado Cará Cará, Botánico, Santa Rosa."
PBO10,30/09/2020 12:45,30/09/2020 13:32,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bañado Cará Cará, Botánico, Santa Rosa."
PBO10,30/09/2020 13:39,30/09/2020 16:53,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bañado Cará Cará, Botánico, Santa Rosa."
PBO14,30/09/2020 22:45,30/09/2020 22:55,Programado,Adverso,"Abierto Interruptor, para efectuar maniobras.",Zeballos Cué.
PBO17,11/09/2020 08:38,11/09/2020 08:40,Programado,Normal,"Abierto Interruptor, para efectuar maniobras.","Salvador del Mundo, Mbocayaty,Santa Rosa, Santisima Trinidad."
PBO17,26/09/2020 12:31,26/09/2020 13:50,Accidental,Adverso,Condiciones Climáticas Adversas.,"Salvador del Mundo, Mbocayaty,Santa Rosa, Santisima Trinidad."
PBO17,30/09/2020 13:33,30/09/2020 14:15,Accidental,Adverso,Condiciones Climáticas Adversas.,"Salvador del Mundo, Mbocayaty,Santa Rosa, Santisima Trinidad."
PBO17,30/09/2020 14:30,30/09/2020 16:46,Accidental,Adverso,Condiciones Climáticas Adversas.,"Salvador del Mundo, Mbocayaty,Santa Rosa, Santisima Trinidad."
PBO20,30/09/2020 20:46,30/09/2020 21:42,Accidental,Adverso,Condiciones Climáticas Adversas.,Botánico.
PBO20,30/09/2020 21:53,30/09/2020 23:02,Accidental,Adverso,Condiciones Climáticas Adversas.,Botánico.
PBO6,26/09/2020 10:47,26/09/2020 11:49,Accidental,Adverso,Condiciones Climáticas Adversas.,"Santísima Trinidad, Virgen de la Asunción, Cañada de Ybyray, Bañado Cará Cará."
PCA1,5/09/2020 05:00,5/09/2020 05:45,Accidental,Normal,"Tramo subterráneo averiado. PE Oddone a PE LasColinas.","San Roque, La Catedral."
PCA1,5/09/2020 05:49,5/09/2020 05:51,Accidental,Normal,"Tramo subterráneo averiado. PE Oddone a PE LasColinas.","San Roque, La Catedral."
PCA1,15/09/2020 10:47,15/09/2020 11:14,Producción,Normal,Fuera de servicio TR-01. ES-PCA.,"San Roque, La Catedral."
PCA1,16/09/2020 00:34,16/09/2020 00:35,Producción,Normal,Canalización del TR-01. ES-PCA.,"San Roque, La Catedral."
PCA1,17/09/2020 03:50,17/09/2020 04:08,Accidental,Normal,No establecido.,"San Roque, La Catedral."
PCA11,8/09/2020 09:30,8/09/2020 09:39,Producción,Normal,"F/S TR-05 23kV ES-PCA, afectando a la BarraB/23kV.","Ricardo Brugada, San Felipe."
PCA11,9/09/2020 10:13,9/09/2020 10:17,Programado,Normal,Trabajos programados. MEMO DD/DCC1/232/2020.,"Ricardo Brugada, San Felipe."
PCA5,15/09/2020 10:47,15/09/2020 11:14,Producción,Normal,Fuera de servicio TR-01. ES-PCA.,La Catedral.
PCA5,16/09/2020 00:34,16/09/2020 00:35,Producción,Normal,Canalización del TR-01. ES-PCA.,La Catedral.
PCA6,15/09/2020 10:47,15/09/2020 11:14,Producción,Normal,Fuera de servicio TR-01. ES-PCA.,La Catedral.
PCA6,16/09/2020 00:34,16/09/2020 00:35,Producción,Normal,Canalización del TR-01. ES-PCA.,La Catedral.
PCA8,26/09/2020 13:44,26/09/2020 16:39,Accidental,Adverso,Condiciones Climáticas Adversas.,"Banco San Miguel, Tablada Nueva,Jara."
PSA11,2/09/2020 17:25,2/09/2020 18:00,Accidental,Normal,No establecido.,"Bañado Tacumbu, Sajonia."
PSA11,6/09/2020 05:32,6/09/2020 05:57,Accidental,Normal,No establecido.,"Bañado Tacumbu, Sajonia."
PSA11,26/09/2020 10:19,26/09/2020 11:41,Accidental,Adverso,Condiciones Climáticas Adversas.,"Bañado Tacumbu, Sajonia."
PSA11,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"Bañado Tacumbu, Sajonia."
PSA12,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,Carlos A. López.
PSA12,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Carlos A. López.
PSA3,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,"San Antonio, Dr. Gaspar R. deFrancia."
PSA3,14/09/2020 04:12,14/09/2020 04:44,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Antonio, Dr. Gaspar R. deFrancia."
PSA3,14/09/2020 04:48,14/09/2020 05:15,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Antonio, Dr. Gaspar R. deFrancia."
PSA3,26/09/2020 10:19,26/09/2020 11:40,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Antonio, Dr. Gaspar R. deFrancia."
PSA3,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"San Antonio, Dr. Gaspar R. deFrancia."
PSA4,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,"Ita Pyta Punta,."
PSA4,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"Ita Pyta Punta,."
PSA5,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,"La Encarnación, San Antonio, Ita PytaPunta, Dr. Gaspar R. de Francia."
PSA5,14/09/2020 20:30,14/09/2020 20:39,Accidental,Adverso,Descargador averiado. Dr. Coronel y A. Silva.,"La Encarnación, San Antonio, Ita PytaPunta, Dr. Gaspar R. de Francia."
PSA5,25/09/2020 10:36,25/09/2020 11:20,Accidental,Normal,"Línea subterránea averiada. Empresa Cono. Sinestado de precausión.","La Encarnación, San Antonio, Ita PytaPunta, Dr. Gaspar R. de Francia."
PSA5,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"La Encarnación, San Antonio, Ita PytaPunta, Dr. Gaspar R. de Francia."
PSA6,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,"San Antonio, Ita Pyta Punta, Dr.Gaspar Rodriguez de Francia."
PSA6,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"San Antonio, Ita Pyta Punta, Dr.Gaspar Rodriguez de Francia."
PSA7,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,"Bañado Tacumbu, Carlos. A. López."
PSA7,25/09/2020 09:20,25/09/2020 10:02,Accidental,Normal,SF operado. 15 Proyectadas y Montevideo.,"Bañado Tacumbu, Carlos. A. López."
PSA7,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,"Bañado Tacumbu, Carlos. A. López."
PSA8,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,"Bañado Tacumbu, Carlos. A. López."
PSA8,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,San Antonio.
PSA9,6/09/2020 05:32,6/09/2020 05:50,Producción,Normal,F/S TR-01 y TR-02 23kV ES-PSA.,Carlos A. López.
PSA9,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Carlos A. López.
REP1,14/09/2020 05:38,14/09/2020 06:28,Accidental,Adverso,Condiciones Climáticas Adversas.,Dr. Roberto L. Petit.
REP1,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,Dr. Roberto L. Petit.
REP2,8/09/2020 14:33,8/09/2020 15:03,Accidental,Normal,"Fusible operado, PD Exclusivo. Japón y FélixBogado.","Republicano, Santa Librada."
REP2,11/09/2020 15:52,11/09/2020 16:41,Accidental,Normal,"Línea MT floja y en contacto con brazo de AP sobreConcepción e/ Prieto Yegros y 3era.","Republicano, Santa Librada."
REP2,19/09/2020 07:50,19/09/2020 08:14,Accidental,Normal,Ramas sobre Línea MT. Toledo y Davalos.,"Republicano, Santa Librada."
REP2,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Republicano, Santa Librada."
REP2,30/09/2020 23:15,30/09/2020 23:27,Accidental,Adverso,SF operado. Derivación en Santa Rosa y Perón.,"Republicano, Santa Librada."
REP3,2/09/2020 20:23,Recierre,Accidental,Normal,No establecido.,"San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP3,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP3,26/09/2020 12:54,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP3,26/09/2020 13:11,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP3,26/09/2020 13:23,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP3,30/09/2020 12:58,30/09/2020 13:37,Accidental,Adverso,Condiciones Climáticas Adversas.,"San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP3,30/09/2020 15:00,30/09/2020 15:21,Accidental,Adverso,"Línea MT F3 en contacto con brazo de AP. Corochirey 11 de Setiembre.","San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP3,30/09/2020 18:24,30/09/2020 18:26,Accidental,Adverso,Abierto SFT derivación. Corochire y Gral. Santos.,"San Pablo, Obrero, San Vicente,Republicano, Santa Ana, Jukyty,Santa Librada, Pirizal."
REP4,14/09/2020 06:07,14/09/2020 07:41,Accidental,Adverso,Fuera de servicio constatado por reclamos.,Hipódromo.
REP4,14/09/2020 07:41,14/09/2020 07:52,Accidental,Adverso,Al efectuar maniobras.,Hipódromo.
REP4,14/09/2020 10:13,14/09/2020 10:47,Accidental,Adverso,"Ramas sobre Línea MT en Concepción y Tobati.Línea MT suelta en Lapacho y Eusebio Ayala.",Hipódromo.
REP4,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,Hipódromo.
REP5,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Tte. Silvio Petirosi, San Vicente,Pinoza."
REP6,8/09/2020 07:24,8/09/2020 08:11,Accidental,Normal,"Descargador y seccionador fusible averiado. Zorrillade San Martín y Gardel.","San Vicente, Pinoza, Pirizal."
REP6,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"San Vicente, Pinoza, Pirizal."
REP6,26/09/2020 10:33,26/09/2020 11:56,Accidental,Adverso,"Ramas sobre Línea MT. Gardel y Zorrilla de SanMartín.","San Vicente, Pinoza, Pirizal."
REP6,29/09/2020 11:53,Recierre,Accidental,Normal,No establecido.,"San Vicente, Pinoza, Pirizal."
REP7,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Tte. Silvio Petirosi, San Vicente,
Pinoza."
REP9,26/09/2020 02:50,26/09/2020 03:15,Producción,Normal,Cambio de configuración CH-IPU/CH-YAC.,"Obrero, Tte. Silvio Petirosi."
REP9,28/09/2020 01:45,28/09/2020 02:03,Accidental,Normal,"Abierto Interruptor, cruceta MT rota. Principio deincendio Acometida Trovato.","Obrero, Tte. Silvio Petirosi."
SMI1,14/09/2020 05:31,14/09/2020 07:04,Accidental,Adverso,Condiciones Climáticas Adversas.,"Pinoza, Gral. Bernardino Caballero, Ciudad Nueva."
SMI1,14/09/2020 07:14,14/09/2020 07:27,Accidental,Adverso,"Cruceta MT rota. 29 de Setiembre e/ Bruno Guggiariy Morquio.","Pinoza, Gral. Bernardino Caballero, Ciudad Nueva."
SMI10,14/09/2020 04:19,14/09/2020 04:33,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Mercedes, Mburicao, Gral.Bernardino Caballero."
SMI2,14/09/2020 07:14,14/09/2020 08:22,Accidental,Adverso,Condiciones Climáticas Adversas.,"Mburicao, Recoleta, Mcal. Francisco.S. López, Gral. Bernardino Caballero."
SMI7,19/09/2020 23:24,19/09/2020 23:25,Accidental,Normal,"Abierto Interruptor, para cambio de SF. España yPerú.","San Felipe, Jara."
SMI9,14/09/2020 06:58,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Mercedes, San Felipe."
SMI9,14/09/2020 08:14,14/09/2020 09:38,Accidental,Adverso,Condiciones Climáticas Adversas.,"Las Mercedes, San Felipe."
VAU1,30/09/2020 12:15,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Los Laureles, Mcal. Estigarribia,
Hipódromo, Tembetary,"
VAU1,30/09/2020 12:49,30/09/2020 14:50,Accidental,Adverso,Condiciones Climáticas Adversas.,"Los Laureles, Mcal. Estigarribia,
Hipódromo, Tembetary,"
VAU10,17/09/2020 04:48,17/09/2020 06:08,Accidental,Normal,"Transformador averiado. RI 18 Pitiantuta y LópezMoreira.","Villa Aurelia, San Pablo."
VAU10,21/09/2020 10:47,Recierre,Accidental,Normal,No establecido.,"Los Laureles, Nazaret, Recoleta,Tembetary."
VAU3,15/09/2020 14:59,Recierre,Accidental,Normal,No establecido.,"Villa Aurelia, San Pablo."
VAU3,19/09/2020 18:25,19/09/2020 19:05,Accidental,Normal,Choque por sostén MT. Eusebio Ayala y Conradi.,"Villa Aurelia, San Pablo."
VAU3,26/09/2020 13:58,Recierre,Accidental,Adverso,Condiciones Climáticas Adversas.,"Villa Aurelia, San Pablo."
VAU4,21/09/2020 08:57,Recierre,Accidental,Normal,No establecido.,"Los Laureles, Nazaret, Recoleta, Tembetary."
VAU8,11/09/2020 12:53,11/09/2020 13:16,Accidental,Normal,"Descargador averiado. Mécanicos de aviación yFacundo Machaín.",Villa Aurelia.
