PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
PCA8,18/07/2020 16:55,18/07/2020 16:59,Accidental,Normal,"Abierto Interruptor, para efectuar reposición de SF operado. Indias y Blanco Cue.",Banco San Miguel,0 days 00:04:00,240
PCA8,18/07/2020 16:55,18/07/2020 16:59,Accidental,Normal,"Abierto Interruptor, para efectuar reposición de SF operado. Indias y Blanco Cue.",Tablada Nueva,0 days 00:04:00,240
PCA8,18/07/2020 16:55,18/07/2020 16:59,Accidental,Normal,"Abierto Interruptor, para efectuar reposición de SF operado. Indias y Blanco Cue.",Jara,0 days 00:04:00,240
PSA4,7/07/2020 00:42,7/07/2020 00:57,Accidental,Normal,Al intentar cerra Interruptor PSA6.,Ita Pyta Punta,0 days 00:15:00,900
PSA4,7/07/2020 01:09,7/07/2020 01:11,Programado,Normal,Abierto Interruptor para efectuar maniobras.,Ita Pyta Punta,0 days 00:02:00,120
PSA5,3/07/2020 18:16,3/07/2020 19:18,Accidental,Normal,SFT averiado. Cmte. Gamarra y Dr. Insfrán.,La Encarnación,0 days 01:02:00,3720
PSA5,3/07/2020 18:16,3/07/2020 19:18,Accidental,Normal,SFT averiado. Cmte. Gamarra y Dr. Insfrán.,San Antonio,0 days 01:02:00,3720
PSA5,3/07/2020 18:16,3/07/2020 19:18,Accidental,Normal,SFT averiado. Cmte. Gamarra y Dr. Insfrán.,Ita Pyta Punta,0 days 01:02:00,3720
PSA5,3/07/2020 18:16,3/07/2020 19:18,Accidental,Normal,SFT averiado. Cmte. Gamarra y Dr. Insfrán.,Dr. Gaspar Rodríguez de Francia,0 days 01:02:00,3720
PSA5,24/07/2020 05:05,24/07/2020 05:21,Accidental,Normal,No establecido.,La Encarnación,0 days 00:16:00,960
PSA5,24/07/2020 05:05,24/07/2020 05:21,Accidental,Normal,No establecido.,San Antonio,0 days 00:16:00,960
PSA5,24/07/2020 05:05,24/07/2020 05:21,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:16:00,960
PSA5,24/07/2020 05:05,24/07/2020 05:21,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 00:16:00,960
PSA6,6/07/2020 23:55,7/07/2020 00:54,Accidental,Normal,Línea MT en C.C por cola de pandorga. Avda. Stella Marys c/ Tte. Diaz. Puente MT Suelto en el Seccionador N° 52519.,San Antonio,0 days 00:59:00,3540
PSA6,6/07/2020 23:55,7/07/2020 00:54,Accidental,Normal,Línea MT en C.C por cola de pandorga. Avda. Stella Marys c/ Tte. Diaz. Puente MT Suelto en el Seccionador N° 52519.,Ita Pyta Punta,0 days 00:59:00,3540
PSA6,6/07/2020 23:55,7/07/2020 00:54,Accidental,Normal,Línea MT en C.C por cola de pandorga. Avda. Stella Marys c/ Tte. Diaz. Puente MT Suelto en el Seccionador N° 52519.,Dr. Gaspar Rodríguez de Francia,0 days 00:59:00,3540
PSA6,26/07/2020 10:38,26/07/2020 11:14,Accidental,Normal,Fusible operado. Catolica y G. Arías.,San Antonio,0 days 00:36:00,2160
PSA6,26/07/2020 10:38,26/07/2020 11:14,Accidental,Normal,Fusible operado. Catolica y G. Arías.,Ita Pyta Punta,0 days 00:36:00,2160
PSA6,26/07/2020 10:38,26/07/2020 11:14,Accidental,Normal,Fusible operado. Catolica y G. Arías.,Dr. Gaspar Rodríguez de Francia,0 days 00:36:00,2160
PSA7,11/07/2020 13:49,11/07/2020 14:39,Accidental,Normal,Transformador averiado. Carlos Gómez y Tte. Cabello.,Bañado Tacumbu,0 days 00:50:00,3000
PSA7,11/07/2020 13:49,11/07/2020 14:39,Accidental,Normal,Transformador averiado. Carlos Gómez y Tte. Cabello.,Carlos A. López,0 days 00:50:00,3000
PSA8,17/07/2020 17:15,17/07/2020 17:19,Accidental,Normal,Al efectuar maniobras.,San Antonio,0 days 00:04:00,240
REP1,7/07/2020 08:44,07/07/2020 10:44,Accidental,Adverso,Condiciones Climáticas Adversas.,Dr. Roberto L. Petit,0 days 02:00:00,7200
REP1,8/07/2020 22:55,8/07/2020 22:59,Accidental,Normal,"Al abrir el seccionador 54114, inconvenientes con el loadbuster.",Dr. Roberto L. Petit,0 days 00:04:00,240
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,San Pablo,0 days 02:00:00,7200
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,Obrero,0 days 02:00:00,7200
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,San Vicente,0 days 02:00:00,7200
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,Republicano,0 days 02:00:00,7200
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,Santa Ana,0 days 02:00:00,7200
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,Jukyty,0 days 02:00:00,7200
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,Santa Librada,0 days 02:00:00,7200
REP3,6/07/2020 10:40,06/07/2020 12:40,Accidental,Normal,No establecido.,Pirizal,0 days 02:00:00,7200
REP4,24/07/2020 11:39,24/07/2020 11:48,Accidental,Normal,Corte de energía que afecto a 54 proyectadas. Autorizado por el Ingeniero Gabriel Cuevas.,Hipódromo,0 days 00:09:00,540
REP6,24/07/2020 10:47,24/07/2020 10:54,Accidental,Normal,Al efectuar maniobras.,San Vicente,0 days 00:07:00,420
REP6,24/07/2020 10:47,24/07/2020 10:54,Accidental,Normal,Al efectuar maniobras.,Pinoza,0 days 00:07:00,420
REP6,24/07/2020 10:47,24/07/2020 10:54,Accidental,Normal,Al efectuar maniobras.,Pirizal,0 days 00:07:00,420
SMI1,6/07/2020 06:55,6/07/2020 07:51,Accidental,Normal,Pájaro en contacto con Línea MT. Gral. Santos y Teodoro S. Mongelos.,Pinoza,0 days 00:56:00,3360
SMI1,6/07/2020 06:55,6/07/2020 07:51,Accidental,Normal,Pájaro en contacto con Línea MT. Gral. Santos y Teodoro S. Mongelos.,Gral. Bernardino Caballero,0 days 00:56:00,3360
SMI1,6/07/2020 06:55,6/07/2020 07:51,Accidental,Normal,Pájaro en contacto con Línea MT. Gral. Santos y Teodoro S. Mongelos.,Ciudad Nueva,0 days 00:56:00,3360
SMI2,5/07/2020 04:02,5/07/2020 04:28,Accidental,Normal,Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Mburicao,0 days 00:26:00,1560
SMI2,5/07/2020 04:02,5/07/2020 04:28,Accidental,Normal,Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Recoleta,0 days 00:26:00,1560
SMI2,5/07/2020 04:02,5/07/2020 04:28,Accidental,Normal,Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Mcal. Francisco S. López,0 days 00:26:00,1560
SMI2,5/07/2020 04:02,5/07/2020 04:28,Accidental,Normal,Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Gral. Bernardino Caballero,0 days 00:26:00,1560
SMI2,5/07/2020 05:09,5/07/2020 05:11,Accidental,Normal,Abierto Interruptor.- Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Mburicao,0 days 00:02:00,120
SMI2,5/07/2020 05:09,5/07/2020 05:11,Accidental,Normal,Abierto Interruptor.- Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Recoleta,0 days 00:02:00,120
SMI2,5/07/2020 05:09,5/07/2020 05:11,Accidental,Normal,Abierto Interruptor.- Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Mcal. Francisco S. López,0 days 00:02:00,120
SMI2,5/07/2020 05:09,5/07/2020 05:11,Accidental,Normal,Abierto Interruptor.- Sostén MT averiado. Telma Aquino y Gonzalo de Mendoza.,Gral. Bernardino Caballero,0 days 00:02:00,120
VAU1,8/07/2020 06:43,8/07/2020 07:52,Accidental,Normal,Transformador N° 72111 averiado. Línea MT en C.C. Tte. Solis c/ Cruz de la Sierra.,Los Laureles,0 days 01:09:00,4140
VAU1,8/07/2020 06:43,8/07/2020 07:52,Accidental,Normal,Transformador N° 72111 averiado. Línea MT en C.C. Tte. Solis c/ Cruz de la Sierra.,Mcal. Estigarribia,0 days 01:09:00,4140
