PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
LAM5,13/08/2020 11:06,13/08/2020 12:09,Accidental,Normal,"Puente MT Suelto F2. Cruce subterráneo, Perón y
San Fernando.",San Cayetano,0 days 01:03:00,3780
LAM5,13/08/2020 11:06,13/08/2020 12:09,Accidental,Normal,"Puente MT Suelto F2. Cruce subterráneo, Perón y
San Fernando.",Pirizal,0 days 01:03:00,3780
LAM5,27/08/2020 23:25,28/08/2020 00:16,Accidental,Normal,"SF averiado F3, Puente MT Suelto. Perón y Santa
Rosa.",Santa Ana,0 days 00:51:00,3060
LAM5,27/08/2020 23:25,28/08/2020 00:16,Accidental,Normal,"SF averiado F3, Puente MT Suelto. Perón y Santa
Rosa.",Itá Enramada,0 days 00:51:00,3060
LAM5,27/08/2020 23:25,28/08/2020 00:16,Accidental,Normal,"SF averiado F3, Puente MT Suelto. Perón y Santa
Rosa.",Jukyty,0 days 00:51:00,3060
LAM5,27/08/2020 23:25,28/08/2020 00:16,Accidental,Normal,"SF averiado F3, Puente MT Suelto. Perón y Santa
Rosa.",Santa Librada,0 days 00:51:00,3060
LAM5,27/08/2020 23:25,28/08/2020 00:16,Accidental,Normal,"SF averiado F3, Puente MT Suelto. Perón y Santa
Rosa.",San Cayetano,0 days 00:51:00,3060
LAM5,27/08/2020 23:25,28/08/2020 00:16,Accidental,Normal,"SF averiado F3, Puente MT Suelto. Perón y Santa
Rosa.",Pirizal,0 days 00:51:00,3060
LAM7,12/08/2020 03:07,12/08/2020 03:44,Accidental,Adverso,Condiciones Climáticas Adversas.,Vista Alegre,0 days 00:37:00,2220
LAM7,12/08/2020 03:07,12/08/2020 03:44,Accidental,Adverso,Condiciones Climáticas Adversas.,Pinoza,0 days 00:37:00,2220
LAM7,20/08/2020 01:34,20/08/2020 03:14,Accidental,Normal,No establecido.,Vista Alegre,0 days 01:40:00,6000
LAM7,20/08/2020 01:34,20/08/2020 03:14,Accidental,Normal,No establecido.,Pinoza,0 days 01:40:00,6000
MBU2,20/08/2020 01:11,20/08/2020 01:51,Accidental,Normal,Cruceta MT rota. Tte. Esquivel y Sgto. Pisciota.,Madame Lynch,0 days 00:40:00,2400
MBU2,20/08/2020 01:11,20/08/2020 01:51,Accidental,Normal,Cruceta MT rota. Tte. Esquivel y Sgto. Pisciota.,Mburucuyá,0 days 00:40:00,2400
MBU2,25/08/2020 07:25,25/08/2020 08:29,Accidental,Normal,No establecido.,Madame Lynch,0 days 01:04:00,3840
MBU2,25/08/2020 07:25,25/08/2020 08:29,Accidental,Normal,No establecido.,Mburucuyá,0 days 01:04:00,3840
MBU2,25/08/2020 08:40,25/08/2020 08:53,Accidental,Normal,No establecido.,Madame Lynch,0 days 00:13:00,780
MBU2,25/08/2020 08:40,25/08/2020 08:53,Accidental,Normal,No establecido.,Mburucuyá,0 days 00:13:00,780
MBU2,29/08/2020 15:24,29/08/2020 17:09,Accidental,Normal,Línea MT en contacto por sostén intermedio. Calle 8
y Rufino Cañete.,Madame Lynch,0 days 01:45:00,6300
MBU2,29/08/2020 15:24,29/08/2020 17:09,Accidental,Normal,Línea MT en contacto por sostén intermedio. Calle 8
y Rufino Cañete.,Mburucuyá,0 days 01:45:00,6300
MBU2,30/08/2020 08:27,30/08/2020 10:27,Accidental,Normal,No establecido.,Madame Lynch,0 days 02:00:00,7200
MBU2,30/08/2020 08:27,30/08/2020 10:27,Accidental,Normal,No establecido.,Mburucuyá,0 days 02:00:00,7200
MBU3,10/08/2020 16:43,10/08/2020 18:43,Accidental,Normal,SF averiado. Julio Correa y Sgto. Benitez.,Las Carmelitas,0 days 02:00:00,7200
MBU3,10/08/2020 16:43,10/08/2020 18:43,Accidental,Normal,SF averiado. Julio Correa y Sgto. Benitez.,Madame Lynch,0 days 02:00:00,7200
MBU3,10/08/2020 16:43,10/08/2020 18:43,Accidental,Normal,SF averiado. Julio Correa y Sgto. Benitez.,Mburucuyá,0 days 02:00:00,7200
MBU3,10/08/2020 19:36,10/08/2020 20:18,Accidental,Normal,SF averiado. Julio Correa y Sgto. Manuel Benitez.,Las Carmelitas,0 days 00:42:00,2520
MBU3,10/08/2020 19:36,10/08/2020 20:18,Accidental,Normal,SF averiado. Julio Correa y Sgto. Manuel Benitez.,Madame Lynch,0 days 00:42:00,2520
MBU3,10/08/2020 19:36,10/08/2020 20:18,Accidental,Normal,SF averiado. Julio Correa y Sgto. Manuel Benitez.,Mburucuyá,0 days 00:42:00,2520
MBU4,19/08/2020 18:10,19/08/2020 18:48,Accidental,Normal,No establecido.,Mbocayaty,0 days 00:38:00,2280
MBU4,19/08/2020 18:10,19/08/2020 18:48,Accidental,Normal,No establecido.,Loma Pyta,0 days 00:38:00,2280
MBU4,19/08/2020 18:10,19/08/2020 18:48,Accidental,Normal,No establecido.,Ñu Guasu,0 days 00:38:00,2280
MBU4,19/08/2020 18:10,19/08/2020 18:48,Accidental,Normal,No establecido.,Mburucuyá,0 days 00:38:00,2280
MBU4,19/08/2020 19:10,19/08/2020 20:12,Accidental,Normal,Ramas sobre Línea MT en J. Pinho y La Piedad.
Poste Intermedio en contacto con Línea MT en J.
Pinho y Tte. Insfrán.,Mbocayaty,0 days 01:02:00,3720
MBU4,19/08/2020 19:10,19/08/2020 20:12,Accidental,Normal,Ramas sobre Línea MT en J. Pinho y La Piedad.
Poste Intermedio en contacto con Línea MT en J.
Pinho y Tte. Insfrán.,Loma Pyta,0 days 01:02:00,3720
MBU4,19/08/2020 19:10,19/08/2020 20:12,Accidental,Normal,Ramas sobre Línea MT en J. Pinho y La Piedad.
Poste Intermedio en contacto con Línea MT en J.
Pinho y Tte. Insfrán.,Ñu Guasu,0 days 01:02:00,3720
MBU4,19/08/2020 19:10,19/08/2020 20:12,Accidental,Normal,Ramas sobre Línea MT en J. Pinho y La Piedad.
Poste Intermedio en contacto con Línea MT en J.
Pinho y Tte. Insfrán.,Mburucuyá,0 days 01:02:00,3720
MBU4,20/08/2020 02:00,20/08/2020 02:37,Accidental,Normal,Línea MT Suelta. Diagonal La Piedad y Pinho
Gonzalez.,Mbocayaty,0 days 00:37:00,2220
MBU4,20/08/2020 02:00,20/08/2020 02:37,Accidental,Normal,Línea MT Suelta. Diagonal La Piedad y Pinho
Gonzalez.,Loma Pyta,0 days 00:37:00,2220
MBU4,20/08/2020 02:00,20/08/2020 02:37,Accidental,Normal,Línea MT Suelta. Diagonal La Piedad y Pinho
Gonzalez.,Ñu Guasu,0 days 00:37:00,2220
MBU4,20/08/2020 02:00,20/08/2020 02:37,Accidental,Normal,Línea MT Suelta. Diagonal La Piedad y Pinho
Gonzalez.,Mburucuyá,0 days 00:37:00,2220
MBU7,13/08/2020 10:26,13/08/2020 12:26,Accidental,Normal,No establecido.,Virgen de la Asunción,0 days 02:00:00,7200
MBU7,13/08/2020 10:26,13/08/2020 12:26,Accidental,Normal,No establecido.,Cañada Ybyray,0 days 02:00:00,7200
MBU7,13/08/2020 11:40,13/08/2020 11:52,Accidental,Normal,"Abierto Interruptor, Línea MT Suelta en Molas López
y Veteranos del 70.",Virgen de la Asunción,0 days 00:12:00,720
MBU7,13/08/2020 11:40,13/08/2020 11:52,Accidental,Normal,"Abierto Interruptor, Línea MT Suelta en Molas López
y Veteranos del 70.",Cañada Ybyray,0 days 00:12:00,720
MRA1,20/08/2020 13:27,20/08/2020 14:56,Accidental,Normal,Desperfecto interno Supermercando KINGO. San
Roque y Eligio Ayala.,Loma Pyta,0 days 01:29:00,5340
MRA1,20/08/2020 13:27,20/08/2020 14:56,Accidental,Normal,Desperfecto interno Supermercando KINGO. San
Roque y Eligio Ayala.,Zeballos Cué,0 days 01:29:00,5340
MRA1,20/08/2020 13:27,20/08/2020 14:56,Accidental,Normal,Desperfecto interno Supermercando KINGO. San
Roque y Eligio Ayala.,San Blas,0 days 01:29:00,5340
MRA11,19/08/2020 18:30,19/08/2020 20:30,Accidental,Normal,No establecido.,Loma Pyta,0 days 02:00:00,7200
MRA11,19/08/2020 18:49,19/08/2020 20:43,Accidental,Normal,No establecido.,Loma Pyta,0 days 01:54:00,6840
MRA11,19/08/2020 20:44,19/08/2020 21:11,Accidental,Normal,Línea MT en contacto con F2 por poste intermedio.
Línea MT Suelta F3 en Tatare y Quintana.,Loma Pyta,0 days 00:27:00,1620
PBO14,8/08/2020 05:12,8/08/2020 05:59,Accidental,Normal,No establecido.,Zeballos Cué,0 days 00:47:00,2820
PBO14,29/08/2020 12:50,29/08/2020 15:13,Accidental,Normal,Puente MT Suelto. Entrada subterráneo en Mcal.
Estigarribia y Epopeya Nacional. Tramo averiado.,Zeballos Cué,0 days 02:23:00,8580
PBO17,19/08/2020 20:55,19/08/2020 21:21,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 00:26:00,1560
PBO17,19/08/2020 20:55,19/08/2020 21:21,Accidental,Normal,No establecido.,Mbocayaty,0 days 00:26:00,1560
PBO17,19/08/2020 20:55,19/08/2020 21:21,Accidental,Normal,No establecido.,Santa Rosa,0 days 00:26:00,1560
PBO17,19/08/2020 20:55,19/08/2020 21:21,Accidental,Normal,No establecido.,Santísima Trinidad,0 days 00:26:00,1560
PBO17,19/08/2020 22:40,19/08/2020 23:15,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 00:35:00,2100
PBO17,19/08/2020 22:40,19/08/2020 23:15,Accidental,Normal,No establecido.,Mbocayaty,0 days 00:35:00,2100
PBO17,19/08/2020 22:40,19/08/2020 23:15,Accidental,Normal,No establecido.,Santa Rosa,0 days 00:35:00,2100
PBO17,19/08/2020 22:40,19/08/2020 23:15,Accidental,Normal,No establecido.,Santísima Trinidad,0 days 00:35:00,2100
PBO20,20/08/2020 00:09,20/08/2020 00:33,Accidental,Normal,No establecido.,Botánico,0 days 00:24:00,1440
PBO20,20/08/2020 16:54,20/08/2020 17:53,Accidental,Normal,Línea MT en C.C. Epopeya Nacional y Diaz.,Botánico,0 days 00:59:00,3540
PBO20,23/08/2020 15:51,23/08/2020 16:51,Accidental,Normal,No establecido.,Botánico,0 days 01:00:00,3600
PCA5,17/08/2020 00:55,17/08/2020 01:18,Accidental,Normal,No establecido.,La Catedral,0 days 00:23:00,1380
PCA5,21/08/2020 21:13,21/08/2020 21:47,Accidental,Normal,No establecido.,La Catedral,0 days 00:34:00,2040
PCA6,16/08/2020 13:49,16/08/2020 15:05,Accidental,Normal,No establecido.,La Catedral,0 days 01:16:00,4560
PCA6,23/08/2020 08:41,23/08/2020 08:58,Accidental,Normal,Al efectuar apertura del SBC 51562 - PD SM262.,La Catedral,0 days 00:17:00,1020
PCA6,26/08/2020 02:56,26/08/2020 03:13,Accidental,Normal,No establecido.,La Catedral,0 days 00:17:00,1020
PCA6,30/08/2020 08:08,30/08/2020 08:31,Accidental,Normal,No establecido.,La Catedral,0 days 00:23:00,1380
PCA6,30/08/2020 08:43,30/08/2020 09:09,Accidental,Normal,Aislador porta barras averiado. PE FERIA
ASUNCIÓN. Azara y México.,La Catedral,0 days 00:26:00,1560
PSA11,9/08/2020 16:28,9/08/2020 17:17,Accidental,Normal,Cola de pandorga. Zona Bañado.,Bañado Tacumbu,0 days 00:49:00,2940
PSA11,9/08/2020 16:28,9/08/2020 17:17,Accidental,Normal,Cola de pandorga. Zona Bañado.,Sajonia,0 days 00:49:00,2940
PSA11,12/08/2020 09:57,12/08/2020 11:20,Accidental,Normal,Cruceta MT rota. Bañado Sur.,Bañado Tacumbu,0 days 01:23:00,4980
PSA11,12/08/2020 09:57,12/08/2020 11:20,Accidental,Normal,Cruceta MT rota. Bañado Sur.,Sajonia,0 days 01:23:00,4980
PSA11,14/08/2020 02:52,14/08/2020 03:20,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 00:28:00,1680
PSA11,14/08/2020 02:52,14/08/2020 03:20,Accidental,Normal,No establecido.,Sajonia,0 days 00:28:00,1680
PSA12,11/08/2020 15:01,11/08/2020 16:04,Accidental,Normal,"Tramo subterráneo averiado, acometida al PD PS81.
Cruceta MT rota. SF averiado.",Carlos A. López,0 days 01:03:00,3780
PSA12,11/08/2020 22:35,11/08/2020 22:38,Accidental,Normal,"Abierto Interruptor, para efectuar cierre de SFT al
PS81.",Carlos A. López,0 days 00:03:00,180
PSA4,26/08/2020 13:57,26/08/2020 14:45,Accidental,Normal,Descargador averiado. Dr. Montero e Isabel La
Católica.,Ita Pyta Punta,0 days 00:48:00,2880
PSA4,27/08/2020 19:11,27/08/2020 19:33,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:22:00,1320
PSA4,29/08/2020 09:32,29/08/2020 10:07,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:35:00,2100
PSA6,11/08/2020 07:59,11/08/2020 08:46,Accidental,Normal,No establecido.,San Antonio,0 days 00:47:00,2820
PSA6,11/08/2020 07:59,11/08/2020 08:46,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:47:00,2820
PSA6,11/08/2020 07:59,11/08/2020 08:46,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 00:47:00,2820
PSA6,26/08/2020 06:31,26/08/2020 07:11,Accidental,Normal,SF operado. G. Arias c/ Isabel de la Católica.,San Antonio,0 days 00:40:00,2400
PSA6,26/08/2020 06:31,26/08/2020 07:11,Accidental,Normal,SF operado. G. Arias c/ Isabel de la Católica.,Ita Pyta Punta,0 days 00:40:00,2400
PSA6,26/08/2020 06:31,26/08/2020 07:11,Accidental,Normal,SF operado. G. Arias c/ Isabel de la Católica.,Dr. Gaspar Rodríguez de Francia,0 days 00:40:00,2400
PSA6,26/08/2020 13:57,26/08/2020 14:45,Accidental,Normal,Descargador averiado. Dr. Montero e Isabel La
Católica.,San Antonio,0 days 00:48:00,2880
PSA6,26/08/2020 13:57,26/08/2020 14:45,Accidental,Normal,Descargador averiado. Dr. Montero e Isabel La
Católica.,Ita Pyta Punta,0 days 00:48:00,2880
PSA6,26/08/2020 13:57,26/08/2020 14:45,Accidental,Normal,Descargador averiado. Dr. Montero e Isabel La
Católica.,Dr. Gaspar Rodríguez de Francia,0 days 00:48:00,2880
PSA6,29/08/2020 09:32,29/08/2020 10:11,Accidental,Normal,No establecido.,San Antonio,0 days 00:39:00,2340
PSA6,29/08/2020 09:32,29/08/2020 10:11,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:39:00,2340
PSA6,29/08/2020 09:32,29/08/2020 10:11,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 00:39:00,2340
