PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
MBU5,6/02/2020 10:38,06/02/2020 12:38,Accidental,Normal,No establecido.,Mbocayaty,0 days 02:00:00,7200
MBU5,6/02/2020 10:38,06/02/2020 12:38,Accidental,Normal,No establecido.,Ñu Guasu,0 days 02:00:00,7200
MBU5,6/02/2020 10:38,06/02/2020 12:38,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 02:00:00,7200
MBU5,18/02/2020 13:09,18/02/2020 15:07,Accidental,Normal,"Puente MT Suelto, Cruceta MT rota. Avda. Ñu Guazú y Autopista.",Santísima Trinidad,0 days 01:58:00,7080
MBU5,18/02/2020 13:09,18/02/2020 15:07,Accidental,Normal,"Puente MT Suelto, Cruceta MT rota. Avda. Ñu Guazú y Autopista.",Madame Lynch,0 days 01:58:00,7080
MBU5,18/02/2020 13:09,18/02/2020 15:07,Accidental,Normal,"Puente MT Suelto, Cruceta MT rota. Avda. Ñu Guazú y Autopista.",Mbocayaty,0 days 01:58:00,7080
MBU5,18/02/2020 13:09,18/02/2020 15:07,Accidental,Normal,"Puente MT Suelto, Cruceta MT rota. Avda. Ñu Guazú y Autopista.",Ñu Guasu,0 days 01:58:00,7080
MBU5,18/02/2020 13:09,18/02/2020 15:07,Accidental,Normal,"Puente MT Suelto, Cruceta MT rota. Avda. Ñu Guazú y Autopista.",Salvador del Mundo,0 days 01:58:00,7080
MBU5,26/02/2020 02:57,26/02/2020 03:30,Accidental,Normal,No establecido.,Santísima Trinidad,0 days 00:33:00,1980
MBU5,26/02/2020 02:57,26/02/2020 03:30,Accidental,Normal,No establecido.,Madame Lynch,0 days 00:33:00,1980
MBU5,26/02/2020 02:57,26/02/2020 03:30,Accidental,Normal,No establecido.,Mbocayaty,0 days 00:33:00,1980
MBU5,26/02/2020 02:57,26/02/2020 03:30,Accidental,Normal,No establecido.,Ñu Guasu,0 days 00:33:00,1980
MBU5,26/02/2020 02:57,26/02/2020 03:30,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 00:33:00,1980
MBU5,26/02/2020 04:13,26/02/2020 04:15,Accidental,Normal,Cruceta MT rota. Obispo López y Cap. Martínez.,Santísima Trinidad,0 days 00:02:00,120
MBU5,26/02/2020 04:13,26/02/2020 04:15,Accidental,Normal,Cruceta MT rota. Obispo López y Cap. Martínez.,Madame Lynch,0 days 00:02:00,120
MBU5,26/02/2020 04:13,26/02/2020 04:15,Accidental,Normal,Cruceta MT rota. Obispo López y Cap. Martínez.,Mbocayaty,0 days 00:02:00,120
MBU5,26/02/2020 04:13,26/02/2020 04:15,Accidental,Normal,Cruceta MT rota. Obispo López y Cap. Martínez.,Ñu Guasu,0 days 00:02:00,120
MBU5,26/02/2020 04:13,26/02/2020 04:15,Accidental,Normal,Cruceta MT rota. Obispo López y Cap. Martínez.,Salvador del Mundo,0 days 00:02:00,120
MBU7,20/02/2020 17:22,20/02/2020 17:24,Programado,Normal,"Abierto Interruptor, para efectuar maniobras.",Virgen de la Asunción,0 days 00:02:00,120
MBU7,20/02/2020 17:22,20/02/2020 17:24,Programado,Normal,"Abierto Interruptor, para efectuar maniobras.",Cañada Ybyray,0 days 00:02:00,120
MRA1,7/02/2020 15:39,7/02/2020 16:30,Accidental,Normal,No establecido.,Loma Pyta,0 days 00:51:00,3060
MRA1,7/02/2020 15:39,7/02/2020 16:30,Accidental,Normal,No establecido.,Zeballos Cué,0 days 00:51:00,3060
MRA1,7/02/2020 15:39,7/02/2020 16:30,Accidental,Normal,No establecido.,San Blas,0 days 00:51:00,3060
MRA1,7/02/2020 17:05,7/02/2020 17:20,Accidental,Normal,Ramas de Palmera caído sobre Línea MT. Ruta Transchaco c/ Hernandarias.,Loma Pyta,0 days 00:15:00,900
MRA1,7/02/2020 17:05,7/02/2020 17:20,Accidental,Normal,Ramas de Palmera caído sobre Línea MT. Ruta Transchaco c/ Hernandarias.,Zeballos Cué,0 days 00:15:00,900
MRA1,7/02/2020 17:05,7/02/2020 17:20,Accidental,Normal,Ramas de Palmera caído sobre Línea MT. Ruta Transchaco c/ Hernandarias.,San Blas,0 days 00:15:00,900
MRA1,16/02/2020 14:04,16/02/2020 14:43,Accidental,Adverso,Condiciones Climáticas Adversas.,Loma Pyta,0 days 00:39:00,2340
MRA1,16/02/2020 14:04,16/02/2020 14:43,Accidental,Adverso,Condiciones Climáticas Adversas.,Zeballos Cué,0 days 00:39:00,2340
MRA1,16/02/2020 14:04,16/02/2020 14:43,Accidental,Adverso,Condiciones Climáticas Adversas.,San Blas,0 days 00:39:00,2340
MRA1,27/02/2020 00:18,27/02/2020 01:00,Accidental,Normal,No establecido.,Loma Pyta,0 days 00:42:00,2520
MRA1,27/02/2020 00:18,27/02/2020 01:00,Accidental,Normal,No establecido.,Zeballos Cué,0 days 00:42:00,2520
MRA1,27/02/2020 00:18,27/02/2020 01:00,Accidental,Normal,No establecido.,San Blas,0 days 00:42:00,2520
MRA1,27/02/2020 01:09,27/02/2020 01:13,Programado,Normal,Abierto interruptor para efectuar reposición de fusible operado. PE Super6.,Loma Pyta,0 days 00:04:00,240
MRA1,27/02/2020 01:09,27/02/2020 01:13,Programado,Normal,Abierto interruptor para efectuar reposición de fusible operado. PE Super6.,Zeballos Cué,0 days 00:04:00,240
MRA1,27/02/2020 01:09,27/02/2020 01:13,Programado,Normal,Abierto interruptor para efectuar reposición de fusible operado. PE Super6.,San Blas,0 days 00:04:00,240
MRA1,28/02/2020 16:24,28/02/2020 17:44,Accidental,Normal,"Rama sobre línea MT y línea MT suelta F1, ocasionado por terceros. Cnel. Bogado y José de Antequera y Castro.",Loma Pyta,0 days 01:20:00,4800
MRA1,28/02/2020 16:24,28/02/2020 17:44,Accidental,Normal,"Rama sobre línea MT y línea MT suelta F1, ocasionado por terceros. Cnel. Bogado y José de Antequera y Castro.",Zeballos Cué,0 days 01:20:00,4800
MRA1,28/02/2020 16:24,28/02/2020 17:44,Accidental,Normal,"Rama sobre línea MT y línea MT suelta F1, ocasionado por terceros. Cnel. Bogado y José de Antequera y Castro.",San Blas,0 days 01:20:00,4800
PBO1,25/02/2020 15:35,25/02/2020 16:56,Accidental,Normal,No establecido.,Santa Rosa,0 days 01:21:00,4860
PBO1,25/02/2020 15:35,25/02/2020 16:56,Accidental,Normal,No establecido.,Virgen de la Asunción,0 days 01:21:00,4860
PBO1,25/02/2020 15:35,25/02/2020 16:56,Accidental,Normal,No establecido.,Cañada Ybyray,0 days 01:21:00,4860
PBO1,25/02/2020 15:35,25/02/2020 16:56,Accidental,Normal,No establecido.,Zeballos Cué,0 days 01:21:00,4860
PBO1,25/02/2020 15:35,25/02/2020 16:56,Accidental,Normal,No establecido.,Bañado Cará Cará,0 days 01:21:00,4860
PBO21,6/02/2020 21:20,6/02/2020 21:36,Accidental,Normal,No establecido.,Zeballos Cué,0 days 00:16:00,960
PBO8,4/02/2020 20:52,4/02/2020 21:30,Accidental,Normal,Desperfecto interno. Lombardo y Bernal.,Zeballos Cué,0 days 00:38:00,2280
PBO8,5/02/2020 00:14,5/02/2020 00:20,Accidental,Normal,"Abierto Interruptor, para efectuar reposición de fusibles. Tte. Bernal c/ Cap. Lombardo.",Zeballos Cué,0 days 00:06:00,360
PBO8,9/02/2020 09:03,9/02/2020 10:06,Accidental,Normal,"Línea MT Suelta, Cruceta MT rota, Puente MT Suelto, SF averiado. 8 de Agosto y Sgto. Martinez.",Virgen de Fátima,0 days 01:03:00,3780
PBO8,9/02/2020 09:03,9/02/2020 10:06,Accidental,Normal,"Línea MT Suelta, Cruceta MT rota, Puente MT Suelto, SF averiado. 8 de Agosto y Sgto. Martinez.",Santa Rosa,0 days 01:03:00,3780
PBO8,16/02/2020 14:06,16/02/2020 16:07,Accidental,Adverso,Línea MT Suelta. Tte. Martínez y Soldado Román.,Virgen de Fátima,0 days 02:01:00,7260
PBO8,16/02/2020 14:06,16/02/2020 16:07,Accidental,Adverso,Línea MT Suelta. Tte. Martínez y Soldado Román.,Santa Rosa,0 days 02:01:00,7260
PCA1,23/02/2020 11:48,23/02/2020 12:13,Accidental,Normal,No establecido.,San Roque,0 days 00:25:00,1500
PCA1,23/02/2020 11:48,23/02/2020 12:13,Accidental,Normal,No establecido.,La Catedral,0 days 00:25:00,1500
PCA1,24/02/2020 22:58,24/02/2020 23:41,Accidental,Normal,Agua en PD SM395. Junta de Gobierno. Diario Patria.,San Roque,0 days 00:43:00,2580
PCA1,24/02/2020 22:58,24/02/2020 23:41,Accidental,Normal,Agua en PD SM395. Junta de Gobierno. Diario Patria.,La Catedral,0 days 00:43:00,2580
PCA8,9/02/2020 14:21,9/02/2020 15:26,Accidental,Normal,No establecido.,Banco San Miguel,0 days 01:05:00,3900
PCA8,9/02/2020 14:21,9/02/2020 15:26,Accidental,Normal,No establecido.,Tablada Nueva,0 days 01:05:00,3900
PCA8,9/02/2020 14:21,9/02/2020 15:26,Accidental,Normal,No establecido.,Jara,0 days 01:05:00,3900
