PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
PCA8,8/03/2020 14:26,8/03/2020 16:20,Programado,Normal,Corte programado DD/MLD/022/20.,Tablada Nueva,0 days 01:54:00,6840
PCA8,8/03/2020 14:26,8/03/2020 16:20,Programado,Normal,Corte programado DD/MLD/022/20.,Jara,0 days 01:54:00,6840
PSA11,2/03/2020 13:47,2/03/2020 14:27,Accidental,Normal,Ocasionado por terceros. Contratista Saguan al tratar de normalizar OT N° 43/2020. Cnel. Lirio y Tte. Pratts.,Bañado Tacumbu,0 days 00:40:00,2400
PSA11,2/03/2020 13:47,2/03/2020 14:27,Accidental,Normal,Ocasionado por terceros. Contratista Saguan al tratar de normalizar OT N° 43/2020. Cnel. Lirio y Tte. Pratts.,Sajonia,0 days 00:40:00,2400
PSA11,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Bañado Tacumbu,0 days 00:04:00,240
PSA11,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Sajonia,0 days 00:04:00,240
PSA11,19/03/2020 16:34,19/03/2020 16:56,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 00:22:00,1320
PSA11,19/03/2020 16:34,19/03/2020 16:56,Accidental,Normal,No establecido.,Sajonia,0 days 00:22:00,1320
PSA11,19/03/2020 18:10,19/03/2020 19:02,Programado,Normal,Abierto interruptor para efectuar cambio de cruceta MT rota y reparación de puente MT suelto F1-2. Acometida a la Armada Nacional.,Bañado Tacumbu,0 days 00:52:00,3120
PSA11,19/03/2020 18:10,19/03/2020 19:02,Programado,Normal,Abierto interruptor para efectuar cambio de cruceta MT rota y reparación de puente MT suelto F1-2. Acometida a la Armada Nacional.,Sajonia,0 days 00:52:00,3120
PSA11,25/03/2020 09:30,25/03/2020 09:44,Programado,Normal,Abiero interruptor para efectuar reparación de puente MT suelto. Cap. Gwynn c/ Nuflo de Chávez.,Bañado Tacumbu,0 days 00:14:00,840
PSA11,25/03/2020 09:30,25/03/2020 09:44,Programado,Normal,Abiero interruptor para efectuar reparación de puente MT suelto. Cap. Gwynn c/ Nuflo de Chávez.,Sajonia,0 days 00:14:00,840
PSA11,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Bañado Tacumbu,0 days 00:02:00,120
PSA11,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Sajonia,0 days 00:02:00,120
